,CEP Estab
27477,54430320
27562,50670020
27691,56180000
27718,50690900
27726,55004270
27773,52051175
27774,50020900
27815,50070465
27835,50050170
27848,53429080
27857,54515578
27892,55026140
27896,56306498
27952,55293460
27997,55194372
27999,55195566
28000,54330040
28082,50950035
28085,53407790
28090,55642550
28102,55641040
28138,51160140
28139,50771600
28182,50040900
28193,50020320
28277,54767030
28334,55819570
28343,51021370
28373,50711360
28397,56304160
28402,54120560
28456,52060435
28463,55004130
28505,53170110
28511,53401770
28554,56503625
28618,52061340
28622,52060030
28636,53030040
28669,50850200
28693,52061060
28707,55602125
28732,55305000
28747,56304190
28751,51030150
28769,55020780
28861,55798000
28877,56308060
28917,54589020
28931,55192340
29093,53140290
29102,55158815
29149,55034120
29188,55297230
29190,50670260
29205,56308426
29211,51021260
29212,52060140
29302,51021220
29333,53130090
29420,55295080
29430,55814280
29458,56912080
29464,56916000
29474,51011031
29482,53030200
29501,56909460
29507,56909103
29534,54400250
29601,55195247
29614,55190616
29617,54520295
29621,54515506
29622,54325628
29804,50050360
29851,55191445
29858,55198000
29870,50820630
29940,51250021
29942,50720290
29955,50030110
29971,54768798
29972,55380000
30016,52060100
30060,55540970
30082,52051110
30104,56365000
30122,53010585
30145,55018330
30198,51020908
30206,54430090
30254,50630660
30286,54430270
30310,55030290
30311,55010210
30312,50610160
30346,55034190
30348,55030230
30349,55020600
30419,56906321
30439,56912190
30442,55194139
30443,55194300
30448,55195500
30496,55190404
30501,54530000
30503,55194142
30510,55014285
30511,55192305
30512,52050345
30537,55665000
30554,54510905
30635,55026010
30638,52120000
30662,55298690
30680,50830150
30689,56508215
30691,56505070
30760,53300390
30800,55295610
30893,53520155
30898,52071133
30899,52111180
31000,55813530
31014,53401300
31099,53431030
31125,55032640
31137,50020285
31152,52291630
31178,55192290
31179,55192110
31191,56328500
31255,54400082
31262,51190450
31263,54520600
31295,55298535
31317,55014250
31328,50721050
31348,50721775
31349,50720650
31367,52051280
31400,54450020
31555,50731230
31566,54325000
31578,50030100
31582,54340090
31615,56505000
31626,53530235
31634,55045035
31645,50720080
31651,55608065
31656,55045055
31681,50060210
31682,53401370
31712,50720525
31721,55004220
31736,50040080
31770,50761300
31780,53030060
31791,55293100
31793,52040280
31806,55295335
31829,52050650
31832,56903300
31851,51021350
31890,55008540
31908,55192255
31974,50030140
31977,53130540
32126,56509280
32150,55002430
32212,55192030
32215,56180970
32349,50770270
32367,55299670
32380,54325012
32386,54735200
32390,56328585
32413,55016470
32417,54400150
32418,50100020
32430,50790540
32450,54345625
32510,56280970
32522,55194290
32526,56320000
32532,55195536
32559,55030280
32570,55030580
32574,55192060
32579,54345030
32586,55192050
32603,55190028
32644,50720020
32673,51130050
32772,56920000
32891,55006010
32923,52081005
32969,55014530
33005,52041190
33045,55154015
33163,56506907
33177,52050260
33193,53370315
33237,50750230
33339,55016420
33341,55002090
33377,54240450
33402,55002410
33405,55004170
33406,55015020
33410,55016315
33456,55024901
33468,52041060
33526,53130000
33536,56160000
33559,52040010
33593,55194280
33601,56903090
33672,52091470
33676,55192608
33681,50610000
33687,55194390
33694,51230180
33719,55196232
33720,54450070
